location,latitude,longitude
JURONG EAST MRT STATION,1.333247584,103.7421981
BUKIT BATOK MRT STATION,1.34887246,103.7494506
BUKIT GOMBAK MRT STATION,1.35865957,103.7518679
CHOA CHU KANG MRT STATION,1.385363165,103.7443708
YEW TEE MRT STATION,1.397602167,103.7474571
KRANJI MRT STATION,1.425075036,103.7621121
MARSILING MRT STATION,1.432599813,103.7740571
WOODLANDS MRT STATION,1.436744281,103.7869564
ADMIRALTY MRT STATION,1.440574821,103.8010289
SEMBAWANG MRT STATION,1.449032719,103.8201161
CANBERRA MRT STATION,1.443136743,103.8297118
YISHUN MRT STATION,1.429484836,103.8350134
KHATIB MRT STATION,1.417520497,103.833034
YIO CHU KANG MRT STATION,1.38164577,103.8450363
ANG MO KIO MRT STATION,1.369428557,103.8494552
BISHAN MRT STATION,1.351018898,103.8500572
BRADDELL MRT STATION,1.340105207,103.8467559
TOA PAYOH MRT STATION,1.332663076,103.8475547
NOVENA MRT STATION,1.320370105,103.8437743
NEWTON MRT STATION,1.312570317,103.8380316
ORCHARD MRT STATION,1.303475586,103.8320479
SOMERSET MRT STATION,1.300252877,103.8391583
DHOBY GHAUT MRT STATION,1.298976474,103.8460184
CITY HALL MRT STATION,1.292989907,103.8525426
RAFFLES PLACE MRT STATION,1.283933262,103.8514631
MARINA BAY MRT STATION,1.276311144,103.854605
MARINA SOUTH PIER MRT STATION,1.271027036,103.8624475
PASIR RIS MRT STATION,1.373019771,103.9492716
TAMPINES MRT STATION,1.354032843,103.944331
SIMEI MRT STATION,1.343203246,103.9533714
TANAH MERAH MRT STATION,1.327253465,103.9465239
BEDOK MRT STATION,1.323990025,103.9300427
KEMBANGAN MRT STATION,1.321036444,103.9129512
EUNOS MRT STATION,1.319745954,103.9031421
PAYA LEBAR MRT STATION,1.317760329,103.8927977
ALJUNIED MRT STATION,1.31643833,103.8829447
KALLANG MRT STATION,1.311488119,103.8713669
LAVENDER MRT STATION,1.307391879,103.8627846
BUGIS MRT STATION,1.300315598,103.8556257
TANJONG PAGAR MRT STATION,1.276561317,103.8457252
OUTRAM PARK MRT STATION,1.280241533,103.8400521
TIONG BAHRU MRT STATION,1.286194579,103.8269989
REDHILL MRT STATION,1.28944363,103.816943
QUEENSTOWN MRT STATION,1.294434301,103.8060737
COMMONWEALTH MRT STATION,1.302467802,103.798272
BUONA VISTA MRT STATION,1.306275348,103.7903632
DOVER MRT STATION,1.311396123,103.7786502
CLEMENTI MRT STATION,1.315217223,103.7651732
CHINESE GARDEN MRT STATION,1.342280906,103.73271
LAKESIDE MRT STATION,1.344156227,103.7205176
BOON LAY MRT STATION,1.338605594,103.7060255
PIONEER MRT STATION,1.337581422,103.6974572
JOO KOON MRT STATION,1.327694331,103.6782465
GUL CIRCLE MRT STATION,1.319470868,103.6605304
TUAS CRESCENT MRT STATION,1.321026952,103.6490782
TUAS WEST ROAD MRT STATION,1.329989089,103.6396141
TUAS LINK MRT STATION,1.340882425,103.6369914
EXPO MRT STATION,1.334966152,103.9619615
CHANGI AIRPORT MRT STATION,1.357478974,103.9878836
HARBOURFRONT MRT STATION,1.265350391,103.8210437
CHINATOWN MRT STATION,1.283964052,103.8431419
CLARKE QUAY MRT STATION,1.287452114,103.8461192
LITTLE INDIA MRT STATION,1.307698447,103.8500936
FARRER PARK MRT STATION,1.3131403,103.8547547
BOON KENG MRT STATION,1.319939577,103.8620527
POTONG PASIR MRT STATION,1.331378085,103.8693635
WOODLEIGH MRT STATION,1.339828246,103.8709609
SERANGOON MRT STATION,1.35104829,103.8710704
KOVAN MRT STATION,1.35990192,103.8844947
HOUGANG MRT STATION,1.370334724,103.8922618
